,Training Steps,Mean Reward
0,8192,tensor(0.6250)
1,16384,tensor(0.)
2,24576,tensor(0.)
3,32768,tensor(0.)
4,40960,tensor(0.)
5,49152,tensor(0.)
6,57344,tensor(0.)
7,65536,tensor(0.)
8,73728,tensor(0.)
9,81920,tensor(0.)
10,90112,tensor(0.)
11,98304,tensor(0.)
12,106496,tensor(0.)
13,114688,tensor(0.)
14,122880,tensor(0.)
15,131072,tensor(0.)
16,139264,tensor(0.)
17,147456,tensor(0.)
18,155648,tensor(0.)
19,163840,tensor(0.)
20,172032,tensor(0.)
21,180224,tensor(0.)
22,188416,tensor(0.)
23,196608,tensor(0.)
24,204800,tensor(0.)
