,Training Steps,Mean Reward,Time elapsed
0,8192,tensor(0.6250),44.55418658256531
1,16384,tensor(1.5625),86.51954889297485
2,24576,tensor(2.5000),128.58942103385925
3,32768,tensor(2.5000),169.26175475120544
4,40960,tensor(2.5000),209.85401272773743
5,49152,tensor(3.1250),250.20838570594788
6,57344,tensor(2.1875),289.85724925994873
7,65536,tensor(5.),329.2511782646179
8,73728,tensor(4.3750),367.3125445842743
9,81920,tensor(5.6250),406.12652683258057
10,90112,tensor(4.6875),446.34487438201904
11,98304,tensor(4.3750),485.7171564102173
12,106496,tensor(4.6875),529.1198031902313
13,114688,tensor(4.3750),570.7203166484833
14,122880,tensor(3.1250),611.5237579345703
15,131072,tensor(5.6250),650.8040227890015
16,139264,tensor(3.1250),689.2771406173706
17,147456,tensor(4.6875),727.8582992553711
18,155648,tensor(4.6875),766.5670096874237
19,163840,tensor(4.0625),805.8646309375763
20,172032,tensor(5.6250),844.7231435775757
21,180224,tensor(5.6250),883.6485154628754
22,188416,tensor(4.0625),922.9289786815643
23,196608,tensor(6.5625),962.7604713439941
24,204800,tensor(3.1250),1002.231053352356
25,212992,tensor(3.1250),1043.1391084194183
26,221184,tensor(3.7500),1082.173625946045
27,229376,tensor(4.3750),1121.7000114917755
28,237568,tensor(5.3125),1162.4082791805267
29,245760,tensor(5.3125),1201.9392805099487
30,253952,tensor(5.6250),1243.9071526527405
31,262144,tensor(6.8750),1283.722520828247
32,270336,tensor(4.0625),1322.8657596111298
33,278528,tensor(4.3750),1363.126804113388
34,286720,tensor(6.5625),1403.1158661842346
35,294912,tensor(4.3750),1444.0166754722595
36,303104,tensor(3.4375),1482.199115037918
37,311296,tensor(5.9375),1521.1707203388214
38,319488,tensor(4.0625),1560.775475025177
39,327680,tensor(5.3125),1601.5026772022247
40,335872,tensor(4.3750),1641.645438194275
41,344064,tensor(5.),1680.3754253387451
42,352256,tensor(5.6250),1719.658178806305
43,360448,tensor(4.3750),1759.2600829601288
44,368640,tensor(4.3750),1798.4228456020355
45,376832,tensor(4.0625),1837.7782187461853
46,385024,tensor(5.),1875.924953699112
47,393216,tensor(6.8750),1914.0162320137024
48,401408,tensor(4.0625),1952.5305635929108
49,409600,tensor(5.),1991.2283074855804
50,417792,tensor(6.8750),2031.02645277977
51,425984,tensor(5.6250),2070.4310863018036
52,434176,tensor(4.6875),2108.355256795883
53,442368,tensor(4.6875),2148.2331652641296
54,450560,tensor(4.3750),2188.1177554130554
55,458752,tensor(3.4375),2228.547986984253
56,466944,tensor(5.3125),2269.870504617691
57,475136,tensor(5.3125),2311.568160057068
58,483328,tensor(4.6875),2357.6511657238007
59,491520,tensor(5.6250),2398.5626661777496
60,499712,tensor(4.6875),2438.641292333603
61,507904,tensor(4.0625),2480.4400222301483
62,516096,tensor(2.5000),2520.857525587082
63,524288,tensor(4.6875),2563.8910088539124
64,532480,tensor(4.3750),2605.448715209961
65,540672,tensor(4.0625),2646.1581468582153
66,548864,tensor(5.),2688.874718427658
67,557056,tensor(4.6875),2729.438275575638
68,565248,tensor(3.7500),2770.379450082779
69,573440,tensor(5.3125),2810.1093051433563
70,581632,tensor(6.5625),2849.1287722587585
71,589824,tensor(4.0625),2888.0919954776764
72,598016,tensor(5.),2928.7666943073273
73,606208,tensor(4.6875),2966.4453344345093
74,614400,tensor(5.),3005.7851099967957
75,622592,tensor(5.),3047.0032320022583
76,630784,tensor(2.5000),3085.887821674347
77,638976,tensor(5.6250),3126.009890317917
78,647168,tensor(5.9375),3168.610695362091
79,655360,tensor(5.9375),3212.3810646533966
80,663552,tensor(5.),3258.7568049430847
81,671744,tensor(4.3750),3298.1716718673706
82,679936,tensor(4.6875),3338.309664964676
83,688128,tensor(5.),3381.476855278015
84,696320,tensor(5.6250),3419.747394323349
85,704512,tensor(5.3125),3457.966899394989
86,712704,tensor(3.1250),3496.8136265277863
87,720896,tensor(4.0625),3536.012755870819
88,729088,tensor(5.),3575.291084051132
89,737280,tensor(3.7500),3613.928236246109
